candidate_id,rank,score,reasoning
CAND_0053591,54,0.354,"AI Engineer with 5.3y exp; 6 core AI skills (embeddings, milvus, opensearch, sentence transformers); loc: Toronto, Canada; response rate 81%; notice 60d; GitHub 76/100"
CAND_0099806,55,0.3503,"AI Engineer with 4.6y exp; 9 core AI skills (rag, prompt engineering, pgvector, faiss); loc: Bhubaneswar, Odisha, India; response rate 76%; notice 30d; GitHub 87/100"
CAND_0077296,56,0.3485,"Computer Vision Engineer with 5.8y exp; 2 core AI skills (go, hugging face transformers, rust, mlops); loc: Vizag, Andhra Pradesh, India; response rate 50%; notice 45d; GitHub 77/100"
CAND_0077956,57,0.3405,"Computer Vision Engineer with 6.4y exp; 7 core AI skills (milvus, sql, hugging face transformers, weaviate); loc: Chandigarh, Chandigarh, India; response rate 88%; notice 120d; GitHub 41/100"
CAND_0078002,58,0.3405,"Machine Learning Engineer with 6.3y exp; 7 core AI skills (pgvector, flask, fastapi, tensorflow); loc: Coimbatore, Tamil Nadu, India; response rate 86%; notice 60d; GitHub 51/100"
CAND_0032887,59,0.3351,"ML Engineer with 6.1y exp; 5 core AI skills (llamaindex, kubernetes, hugging face transformers, nlp); loc: Singapore, Singapore; response rate 81%; notice 45d; GitHub 52/100"
CAND_0014440,60,0.3311,"Recommendation Systems Engineer with 6.4y exp; 7 core AI skills (elasticsearch, milvus, machine learning, faiss); loc: Chennai, Tamil Nadu, India; response rate 64%; notice 60d; GitHub 90/100"
CAND_0017918,61,0.3292,"ML Engineer with 3.2y exp; 5 core AI skills (llms, prompt engineering, elasticsearch, rust); loc: Bangalore, Karnataka, India; response rate 67%; notice 60d; GitHub 48/100"
CAND_0063736,62,0.3219,"Data Scientist with 3.7y exp; 7 core AI skills (hugging face transformers, pytorch, learning to rank, embeddings); loc: Vizag, Andhra Pradesh, India; response rate 83%; notice 45d; GitHub 71/100"
CAND_0002706,63,0.321,"Junior ML Engineer with 6.9y exp; 5 core AI skills (tensorflow, llms, dbt, postgresql); loc: Trivandrum, Kerala, India; response rate 58%; notice 90d; GitHub 79/100"
CAND_0072232,64,0.3121,"ML Engineer with 4.0y exp; 3 core AI skills (tensorflow, mlflow, bm25, azure); loc: Kolkata, West Bengal, India; response rate 58%; notice 90d; GitHub 13/100"
CAND_0004402,65,0.3053,"AI Research Engineer with 6.0y exp; 6 core AI skills (typescript, opensearch, pytorch, bentoml); loc: Delhi, Delhi, India; response rate 83%; notice 60d; no GitHub"
CAND_0034164,66,0.3012,"Data Scientist with 3.6y exp; 6 core AI skills (computer vision, nlp, elasticsearch, sentence transformers); loc: Hyderabad, Telangana, India; response rate 84%; notice 90d; no GitHub"
CAND_0012805,67,0.2994,"Data Scientist with 4.9y exp; 3 core AI skills (deep learning, rest apis, prompt engineering, azure); loc: Ahmedabad, Gujarat, India; response rate 83%; notice 120d; no GitHub"
CAND_0057369,68,0.2861,"Computer Vision Engineer with 3.4y exp; 6 core AI skills (mlflow, information retrieval, deep learning, nlp); loc: Kolkata, West Bengal, India; response rate 60%; notice 120d; GitHub 76/100"
CAND_0047521,69,0.2846,"Junior ML Engineer with 4.4y exp; 6 core AI skills (fastapi, llamaindex, scikit-learn, pinecone); loc: Mumbai, Maharashtra, India; response rate 83%; notice 120d; GitHub 66/100"
CAND_0015543,70,0.2813,"ML Engineer with 3.1y exp; 5 core AI skills (scikit-learn, computer vision, faiss, ci/cd); loc: Delhi, Delhi, India; response rate 58%; notice 60d; GitHub 14/100"
CAND_0099347,71,0.2753,"Computer Vision Engineer with 3.5y exp; 4 core AI skills (computer vision, hugging face transformers, learning to rank, machine learning); loc: Noida, Uttar Pradesh, India; response rate 86%; notice 45d; GitHub 56/100"
CAND_0052682,72,0.2727,"NLP Engineer with 6.6y exp; 7 core AI skills (semantic search, faiss, pytorch, llms); loc: Vizag, Andhra Pradesh, India; response rate 88%; notice 30d; GitHub 72/100"
CAND_0015057,73,0.2714,"ML Engineer with 4.6y exp; 5 core AI skills (sentence transformers, computer vision, vector search, embeddings); loc: Pune, Maharashtra, India; response rate 85%; notice 90d; no GitHub"
CAND_0007008,74,0.2678,"Senior Software Engineer (ML) with 3.7y exp; 5 core AI skills (llamaindex, learning to rank, bentoml, tensorflow); loc: Coimbatore, Tamil Nadu, India; response rate 66%; notice 60d; GitHub 47/100"
CAND_0064326,75,0.2668,"Search Engineer with 7.6y exp; 7 core AI skills (scikit-learn, pytorch, milvus, deep learning); loc: Gurgaon, Haryana, India; response rate 94%; notice 45d; GitHub 61/100"
CAND_0011643,76,0.2632,"AI Research Engineer with 4.2y exp; 5 core AI skills (pinecone, prompt engineering, hadoop, llamaindex); loc: Jaipur, Rajasthan, India; response rate 85%; notice 90d; GitHub 85/100"
CAND_0021410,77,0.263,"Junior ML Engineer with 4.0y exp; 4 core AI skills (dbt, pytorch, computer vision, bigquery); loc: Hyderabad, Telangana, India; response rate 80%; notice 60d; no GitHub"
CAND_0080465,78,0.2622,"ML Engineer with 4.2y exp; 3 core AI skills (milvus, mlflow, qdrant, bentoml); loc: Toronto, Canada; response rate 83%; notice 90d; GitHub 81/100"
CAND_0008295,79,0.2617,"AI Research Engineer with 6.5y exp; 3 core AI skills (bm25, kubernetes, python, computer vision); loc: Pune, Maharashtra, India; response rate 89%; notice 45d; GitHub 51/100"
CAND_0044222,80,0.2599,"AI Engineer with 7.7y exp; 9 core AI skills (vector search, llamaindex, opensearch, java); loc: Vizag, Andhra Pradesh, India; response rate 60%; notice 60d; GitHub 29/100"
CAND_0028422,81,0.2573,"Junior ML Engineer with 5.5y exp; 7 core AI skills (pinecone, deep learning, pgvector, opensearch); loc: Chennai, Tamil Nadu, India; response rate 76%; notice 90d; GitHub 72/100"
CAND_0051936,82,0.2559,"AI Research Engineer with 3.9y exp; 5 core AI skills (embeddings, python, prompt engineering, pgvector); loc: Ahmedabad, Gujarat, India; response rate 81%; notice 30d; no GitHub"
CAND_0075715,83,0.2501,"Data Scientist with 3.5y exp; 4 core AI skills (sentence transformers, redis, pinecone, mlflow); loc: Kolkata, West Bengal, India; response rate 62%; notice 90d; GitHub 64/100"
CAND_0086893,84,0.2477,"ML Engineer with 3.9y exp; 6 core AI skills (hugging face transformers, llms, computer vision, llamaindex); loc: Bangalore, Karnataka, India; response rate 90%; notice 90d; no GitHub"
CAND_0002120,85,0.247,"ML Engineer with 6.5y exp; 6 core AI skills (rag, hugging face transformers, information retrieval, pinecone); loc: Berlin, Germany; response rate 72%; notice 45d; GitHub 50/100"
CAND_0061257,86,0.2451,"Staff Machine Learning Engineer with 8.0y exp; 3 core AI skills (machine learning, information retrieval systems, indexing algorithms, python); loc: Noida, Uttar Pradesh, India; response rate 87%; notice 30d; GitHub 45/100"
CAND_0054546,87,0.2447,"AI Research Engineer with 4.9y exp; 4 core AI skills (qdrant, hugging face transformers, bm25, prompt engineering); loc: Pune, Maharashtra, India; response rate 92%; notice 90d; GitHub 75/100"
CAND_0019480,88,0.239,"NLP Engineer with 2.8y exp; 5 core AI skills (llms, tensorflow, milvus, bm25); loc: Chennai, Tamil Nadu, India; response rate 87%; notice 90d; GitHub 70/100"
CAND_0003575,89,0.2353,"Data Scientist with 3.7y exp; 6 core AI skills (bentoml, recommendation systems, semantic search, nlp); loc: Ahmedabad, Gujarat, India; response rate 67%; notice 45d; GitHub 18/100"
CAND_0071747,90,0.2348,"AI Research Engineer with 4.2y exp; 5 core AI skills (milvus, fine-tuning llms, semantic search, python); loc: Kolkata, West Bengal, India; response rate 87%; notice 90d; GitHub 68/100"
CAND_0074735,91,0.2335,"Applied ML Engineer with 5.5y exp; 11 core AI skills (rag, prompt engineering, llamaindex, machine learning); loc: Chandigarh, Chandigarh, India; response rate 77%; notice 90d; GitHub 88/100"
CAND_0087494,92,0.2301,"ML Engineer with 3.4y exp; 5 core AI skills (nlp, pytorch, javascript, fine-tuning llms); loc: Jaipur, Rajasthan, India; response rate 41%; notice 60d; GitHub 81/100"
CAND_0029971,93,0.2278,"Junior ML Engineer with 5.4y exp; 3 core AI skills (pinecone, mlops, embeddings, recommendation systems); loc: Trivandrum, Kerala, India; response rate 61%; notice 45d; GitHub 19/100"
CAND_0037160,94,0.221,"Data Scientist with 6.0y exp; 7 core AI skills (deep learning, llms, weaviate, computer vision); loc: Mumbai, Maharashtra, India; response rate 74%; notice 30d; GitHub 28/100"
CAND_0098454,95,0.2184,"AI Specialist with 6.6y exp; 6 core AI skills (vector search, mlops, nlp, opensearch); loc: Indore, Madhya Pradesh, India; response rate 87%; notice 60d; GitHub 29/100"
CAND_0026942,96,0.2147,"Junior ML Engineer with 6.0y exp; 3 core AI skills (learning to rank, tensorflow, bentoml, mlflow); loc: Chandigarh, Chandigarh, India; response rate 84%; notice 30d; GitHub 67/100"
CAND_0098846,97,0.2093,"AI Engineer with 7.6y exp; 5 core AI skills (hugging face transformers, hadoop, machine learning, mlops); loc: Indore, Madhya Pradesh, India; response rate 62%; notice 45d; GitHub 86/100"
CAND_0079387,98,0.2071,"AI Engineer with 6.9y exp; 5 core AI skills (scikit-learn, recommendation systems, python, sentence transformers); loc: Trivandrum, Kerala, India; response rate 81%; notice 30d; GitHub 64/100"
CAND_0063585,99,0.2021,"AI Research Engineer with 3.1y exp; 5 core AI skills (deep learning, rest apis, javascript, qdrant); loc: Noida, Uttar Pradesh, India; response rate 34%; notice 120d; GitHub 13/100"
CAND_0068811,100,0.2,"Applied ML Engineer with 8.0y exp; 8 core AI skills (vector search, qdrant, scikit-learn, tensorflow); loc: Pune, Maharashtra, India; response rate 42%; notice 30d; GitHub 23/100"
